职位标题,职位链接
"AI解决方案工程师
【
上海-黄浦区
】
20-30k
3年以上
硕士",https://www.liepin.com/job/1979097019.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79097019%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=31&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=31
"AI 产品经理 (MJ017620)
【
北京-海淀区
】
30-40k·14薪
经验不限
学历不限",https://www.liepin.com/job/1979069479.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79069479%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=32&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=32
"战略分析（AI）
【
上海-闵行区
】
15-30k·14薪
2-5年
硕士",https://www.liepin.com/job/1978904885.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78904885%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=33&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=33
"助理产品经理（AI应用方向）
【
上海-静安区
】
18-25k
2年以下
本科",https://www.liepin.com/job/1978499089.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78499089%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=34&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=34
"AI创新及信息技术总监
【
上海
】
100-130k·13薪
10年以上
本科",https://www.liepin.com/a/71069207.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_71069207%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=35&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=35
"蚂蚁集团-金融AI-APP产品经理
【
深圳-南山区
】
30-60k·15薪
5-10年
统招本科",https://www.liepin.com/job/1978622923.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78622923%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=36&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=36
"IT, AI & Digitalization Leader – R&D
【
上海-静安区
】
薪资面议
经验不限
统招本科",https://www.liepin.com/job/1978411187.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78411187%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=37&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=37
"法律顾问（AI 合规） - 知名大厂外包岗
【
北京
】
25-40k·13薪
3-5年
硕士",https://www.liepin.com/a/70278925.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_70278925%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=39&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=39
"AI产品经理（工业智能方向）
【
上海-长宁区
】
25-45k·14薪
3-5年
统招本科",https://www.liepin.com/job/1979189627.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79189627%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=40&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=40
"AI数字化高级经理
【
杭州-余杭区
】
30-45k·14薪
2-5年
统招本科",https://www.liepin.com/job/1978813711.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78813711%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=41&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=41
